Product Title,Listing Type (Sponsored/ Organic),Avg. Star Rating,Quantities bought in the last month,Special deal running,MRP of the product,Selling Price,Presence of a Bestseller/Amazon’s Choice Tag,Date of Delivery
MyGlamm POUT by Karan Johar Tinted Plumping Lipstick | Glossy Lipstick for Women With Petal Glow Finish | Buildable Colour & Shine | Moisturising Formula | Pout It Out (Mauve Pink Shade) | 3.5g,N/A,4.3,100+ bought in past month,-20%,,639,N/A,"Tuesday, 14 May"
"RENEE Madness Ph Lipstick 3gm - Black Lipstick With Glossy Pink Payoff - Long Lasting Nourishment, Enriched With Vitamin E & Jojoba Oil - Vegan & Paraben Free",N/A,4.1,4K+ bought in past month,-32%,,338,N/A,"Tuesday, 14 May"
"MyGlamm Manish Malhotra Soiree Creamy Matte Lipstick - 04 Amour (Red Shade) | Long Lasting, Pigmented With SPF 30 & Vitamin E (4.2g)",N/A,4.6,100+ bought in past month,-22%,,623,"Amazon's
Choice","Tuesday, 14 May"
"MyGlamm Manish Malhotra Soiree Liquid Matte Lipstick - 02 Caramel Quest (Brown Shade) | Long Lasting, Transfer-resistant With Vitamin E (7g)",N/A,4.7,N/A,-15%,,679,N/A,"Tuesday, 14 May"
"Just Herbs Ayurvedic Creamy Matte Micro Mini Lipstick Kit Lip Hydrating & Moisturizing, Lipsticks for Women Suitable All Indian Tones (Pack of 16)",N/A,3.8,N/A,-35%,,373,N/A,"Tuesday, 14 May"
"Maybelline New York Matte Lipstick, Intense Colour, Moisturised Lips, Color Sensational Creamy Matte, 695 Divine Wine, 3.9g",N/A,4.1,1K+ bought in past month,-35%,,213,"Amazon's
Choice","Tuesday, 14 May"
Mamaearth Creamy Matte Long Stay Lipstick with Murumuru Butter and Vitamin E for 8-Hour Long Stay (Flakeproof & Non-Drying | Intense Color Payoff) - 4.2g (Rose Nude),N/A,4.2,1K+ bought in past month,-10%,,358,"Amazon's
Choice","Tuesday, 14 May"
"SUGAR Cosmetics Nothing Else Matter Longwear Matte Lipstick | Lasts Up To 8+ Hours| 100% Vegan | 3.2gm - 14 Red Herring (Raspberry Pink, Reddish Pink)",N/A,4.1,100+ bought in past month,-28%,,434,N/A,"Tuesday, 14 May"
"RENEE Fab 5 Nude 5 in 1 Lipstick 7.5gm - Five Shades in One -long Lasting, Matte Finish - Non Drying Formula With Intense Color Payoff - Compact & Easy to Use",N/A,4.1,N/A,-40%,,449,"Amazon's
Choice","Tuesday, 14 May"
"RENEE Madness Ph Lipstick 3gm - Black Lipstick With Glossy Pink Payoff - Long Lasting Nourishment, Enriched With Vitamin E & Jojoba Oil - Vegan & Paraben Free",N/A,4.1,4K+ bought in past month,-32%,,338,N/A,"Tuesday, 14 May"
SUGAR Cosmetics Matte As Hell Crayon Lipstick with Sharpner | Smudgeproof | Lasts Upto 8+ Hrs | 2.5gm - 12 Baby Houseman,N/A,4.2,50+ bought in past month,-25%,,449,N/A,"Tuesday, 14 May"
MyGlamm POUT by Karan Johar Tinted Plumping Lipstick | Glossy Lipstick for Women With Petal Glow Finish | Buildable Colour & Shine | Moisturising Formula | Poutitude (Fuschia Pink Shade) | 3.5g,N/A,4.3,300+ bought in past month,-20%,,639,N/A,"Tuesday, 14 May"
MARS Creamy Matte Long Lasting Lipstick for Women | Creamy Lipstick | Single Swipe Application | Smooth & Light Weight (3.2 gm) (11-Aerial Awe),N/A,3.9,1K+ bought in past month,-15%,,169,N/A,"Tuesday, 14 May"
"Blue Heaven Matte Love Mini Lipsticks, Pack of 10 | Hydrating & Moisturizing Mini Roll on Lipsticks, 13gm",N/A,4.0,2K+ bought in past month,-40%,,239,N/A,"Wednesday, 15 May"
"Swiss Beauty Pure Matte Lipstick | Long Lasting, Hydrating & Lightweight Lipstick | Hot Nude, 3.8gm|",N/A,3.9,900+ bought in past month,-30%,,160,N/A,"Tuesday, 14 May"
"RENNE Very Matte - Pack of 4 Matte Lipsticks | Intense Color Pay Off, Full Coverage Long Lasting Weightless Velvety Formula",N/A,4.0,2K+ bought in past month,-33%,,399,N/A,"Tuesday, 14 May"
"LAKMÉ Cushion Matte Lipstick Burgundy Bloom, Long Lasting Comfortable Velvet Matte Finish - Waterproof, Non Drying Creamy Matte Bullet Lipstick, 4.5G",N/A,3.9,1K+ bought in past month,-55%,,134,N/A,18 - 20 May
"Blue Heaven Hyperstay Weightless Liquid Matte| Lipstick For Women| Mystic Maroon-05, 6 ml",N/A,3.8,500+ bought in past month,-20%,,108,N/A,"Tuesday, 14 May"
"Dazller All Day Lipcolour,6g, DLC025-Hazelnut Cup, Ultra intense matte,Smudge-proof, Non-transfer,Lightweight,up to 8-hr Stay",N/A,4.1,4K+ bought in past month,-7%,,186,"Amazon's
Choice","Wednesday, 15 May"
"Elle18 Lakmé Elle18 Color Pop Matte Lip Color, P24, Pink Show, 4.3 G",N/A,3.8,500+ bought in past month,-10%,,90,N/A,"Tuesday, 14 May"
"LAKMÉ Forever Matte Liquid Lip Colour, Nude Dream, Long Lasting Liquid Lipstick, Lightweight & Comfortable - Smudge Proof, Non Transferable, 5.6 Ml",N/A,4.1,2K+ bought in past month,-35%,,191,N/A,"Tuesday, 14 May"
"Maybelline New York Lipstick, Matte Finish, Non-Sticky and Non-Drying, Sensational Liquid Matte, 21 Nude Nuance, 7ml",N/A,4.0,N/A,-26%,,259,N/A,"Tuesday, 14 May"
MARS Long Lasting Crayon Lipstick up to 12 Hours Stay | Matte Finish | Waterproof | Won't Smudge Won't Budge Lip Crayon (3.5 gm) 10-Girl Power,N/A,4.0,2K+ bought in past month,-4%,,219,N/A,"Tuesday, 14 May"
"NANCY AJRAM X HANDAIYAN Lipstick Set of 12 Matte Velvet Mini Liquid Lipstick Set for Women - Long Lasting, Waterproof Lip Gloss Combo",N/A,4.2,700+ bought in past month,-54%,,599,N/A,"Tuesday, 14 May"
KA CAYLA Handaiyan Liquid Lipstick Set - 6Pcs Liquid Matte Nude Lipsticks For Women Velvet Waterproof Makeup Kit Mini Lipstick Palette Non-Stick Liquid Lipstick Combo Pack,N/A,4.0,N/A,-75%,,499,N/A,"Tuesday, 14 May"
Mamaearth Soft Matte Long Stay Lipsticks with Jojoba Oil & Vitamin E for 12 Hour Long Stay - 07 Ruby Red - 3.5 g,N/A,3.9,400+ bought in past month,-12%,,350,N/A,"Tuesday, 14 May"
SUGAR Cosmetics Matte As Hell Crayon Lipstick with Sharpner | Smudgeproof | Lasts Upto 8+ Hrs | 2.5gm - 07 Viola,N/A,3.7,50+ bought in past month,-25%,,449,N/A,"Tuesday, 14 May"
"RENEE Fab 5 Nude 5 in 1 Lipstick 7.5gm - Five Shades in One -long Lasting, Matte Finish - Non Drying Formula With Intense Color Payoff - Compact & Easy to Use",N/A,4.1,N/A,-40%,,449,"Amazon's
Choice","Tuesday, 14 May"
Sugar Cosmetics - Nothing Else Matter - Long wear Matte Lipstick - 31 Simmer Brown (Milk Chocolate Brown/Almond Brown) - 3.2g,N/A,4.1,N/A,-16%,,503,"Amazon's
Choice","Tuesday, 14 May"
STARSTRUCK BY SUNNY LEONE Intense Matte Lipstick | Richly Pigmented | Brown Lipstick | Toffee,N/A,3.7,N/A,-25%,,599,N/A,"Tuesday, 14 May"
"Lakme 9 To 5 Primer + Matte Lipstick, Matte Finish, Lightweight Lipstick, Lasts For 16Hrs, Nourishes Lips & Great For Daily Use, Burgundy Passion, 3.6g",N/A,3.9,500+ bought in past month,-52%,,239,N/A,"Tuesday, 14 May"
MARS Matte Box Set of 3 Lipsticks for Women | Long-Lasting | Smooth Finish | Moisturising | One Swipe Pigmentation | (3x3.2 gm) (02-Peaches & Nudes),N/A,4.0,2K+ bought in past month,-22%,,349,N/A,"Tuesday, 14 May"
"Blue Heaven Intense Matte Lipstick, Plum Desire, 310, 4 gm",N/A,3.7,300+ bought in past month,-15%,,85,N/A,"Tuesday, 14 May"
"Swiss Beauty Stain Matte Lipstick | Long Lasting, Hydrating & Lightweight Lipstick | Burgandy, 3.4gm|",N/A,3.8,50+ bought in past month,-30%,,174,N/A,"Tuesday, 14 May"
"FACES CANADA Weightless Creme Finish Lipstick - Sweet Mocha (Brown), 4g | Creamy Finish | Smooth Texture | Long Lasting Rich Color | Hydrated Lips | Vitamin E, Jojoba Oil, Shea Butter, Almond Oil",N/A,3.9,400+ bought in past month,-39%,,182,N/A,"Tuesday, 14 May"
"Insight Non Transfer Lip Color |Matte Texture|12Hrs Waterproof|True Color|Smudge Proof |Paraben Free |100% Veg |Longwear, 4ml(LG40-14)",N/A,3.9,200+ bought in past month,-10%,,89,N/A,"Tuesday, 14 May"
Blue Heaven Powder Matte Lipstick Mocha Madness,N/A,3.9,200+ bought in past month,-31%,,124,N/A,"Tuesday, 14 May"
"RENEE Madness Ph Lipstick 3gm - Black Lipstick With Glossy Pink Payoff - Long Lasting Nourishment, Enriched With Vitamin E & Jojoba Oil - Vegan & Paraben Free",N/A,4.1,4K+ bought in past month,-32%,,338,N/A,"Tuesday, 14 May"
"Maybelline New York Liquid Matte Lipstick, Long Lasting, 16hr Wear, Superstay Matte Ink, 230 Transformer, 5ml",N/A,4.2,N/A,-36%,,419,"Amazon's
Choice","Tuesday, 14 May"
"MILAP Matte Stick Lipstick, Long lasting lipsticks, Lipstick for Women, Lipstick pack of 1, Electric Orchid",N/A,4.0,50+ bought in past month,-34%,,85,"Amazon's
Choice","Tuesday, 14 May"
"Just Herbs Ayurvedic Liquid Lipstick Matte Finish Kit Set of 5 with Long Lasting, Hydrating & Lightweight Lip Colour, Nudes & Browns - Paraben & Silicon Free - 5 ml",N/A,3.9,900+ bought in past month,-40%,,447,N/A,"Tuesday, 14 May"
Moisture Matte Longstay Lipstick with Avocado Oil & Vitamin E for 12 Hour Long Stay-01 Carnation Nude - 2 g,N/A,4.0,1K+ bought in past month,-12%,,438,N/A,
Elle18 Liquid Matte Lip Color|| Pink Blossom|| 5.6Ml,N/A,3.8,200+ bought in past month,-10%,,108,N/A,"Tuesday, 14 May"
"Maybelline New York Lipstick, Matte Finish, Bold Colour, Enriched With Jojoba Oil, Color Sensational Ultimattes, 599 More Mauve, 1.7 g",N/A,4.1,400+ bought in past month,-8%,,549,N/A,"Tuesday, 14 May"
"MyGlamm POPxo Makeup Collection - Power Trip Mini Lip Kit Lipstick, Cream Finish| Paraben-Free | Long Lasting Formula Cream | 2-in-1 combo | 2.5g*2",N/A,3.9,600+ bought in past month,-60%,,139,N/A,"Thursday, 16 May"
SUGAR POP 4 in 1 Lip Twist - 01 Classic | Multi-use Stackable Lipsticks for Women | Satin Matte Hydrating Formula | 6.4g,N/A,4.3,500+ bought in past month,-25%,,374,"Amazon's
Choice","Tuesday, 14 May"
Plum Matte In Heaven Liquid Lipstick Trial Pack | Upto 12 Uses | Cocoa Mocha - 130 (Chocolate Brown),N/A,3.8,1K+ bought in past month,-16%,,83,N/A,"Tuesday, 14 May"
"SUGAR Cosmetics - Smudge Me Not - Mini Liquid Lipstick - 09 Suave Mauve - (Mini 1.1ml) - Ultra Matte, Transferproof and Waterproof, Lasts Up to 12 hours",N/A,3.6,200+ bought in past month,-16%,,209,N/A,"Tuesday, 14 May"
"RENEE Fab 5 Nude 5 in 1 Lipstick 7.5gm - Five Shades in One -long Lasting, Matte Finish - Non Drying Formula With Intense Color Payoff - Compact & Easy to Use",N/A,4.1,N/A,-40%,,449,"Amazon's
Choice","Tuesday, 14 May"
"RENEE Stay With Me Mini Matte Lip Color, Long Lasting, Non Transfer, Water & Smudge Proof, Light Weight Liquid Lipstick, Desire for Brown 2ml",N/A,4.0,500+ bought in past month,-15%,,169,N/A,"Tuesday, 14 May"
LAKMÉ Natural Lip Love Lip & Cheek Tint Pretty Pink,N/A,4.0,600+ bought in past month,-30%,,227,N/A,"Tuesday, 14 May"
MARS Matte Liquid Lip Color | Long Lasting | Non-Transfer & Waterproof Lipstick for Women (4.5 ml) (09-Heart Thief),N/A,3.6,300+ bought in past month,-28%,,179,N/A,"Tuesday, 14 May"
"Swiss Beauty Non-Transfer Waterproof Lipstick with Jojoba Seed Oil | Matte Finish | Long-Lasting | Highly Pigmented | Shade- Royal Maroon, 3gm",N/A,4.0,100+ bought in past month,-30%,,279,N/A,"Tuesday, 14 May"
Lakmé 9to5 Primer + Matte Liquid Lip Color MP3 Dusty Rose,N/A,3.2,200+ bought in past month,-60%,,199,N/A,"Tuesday, 14 May"
"Lakmé Forever Matte Liquid Lip Colour, Nude Twist, 5.6 ml",N/A,4.1,1K+ bought in past month,-39%,,179,N/A,"Tuesday, 14 May"
Elle18 Lipstick Maroon Silk (Matte),N/A,3.7,100+ bought in past month,N/A,,90,N/A,"Tuesday, 14 May"
SUGAR Cosmetics Matte Attack Lipstick for Women | Transferproof & Smudgeproof | Lasts upto 12hrs | Enriched With Jojoba Oil | 2gm - The Grandberries,N/A,3.9,200+ bought in past month,-16%,,629,N/A,"Tuesday, 14 May"
"Biotique Natural Makeup Magicolor Lipstick, Winter Kiss",N/A,3.7,100+ bought in past month,-30%,,88,N/A,
"HUDACRUSH Beauty Set of 4 Liquid Matte Mini Lipsticks, Red Edition - Long Lasting & Waterproof Lipstick Combo Pack Of Red, Deep Red, Wine & Pink Shades for Women",N/A,3.4,500+ bought in past month,-61%,,195,N/A,"Tuesday, 14 May"
"Just Herbs Matte Lipstick, Hydrating Nourishing and Liquid Waterproof Long Stay Relaxed Matte Bullet Lipsticks for Women 4.2 gm",N/A,4.2,50+ bought in past month,-10%,,399,N/A,"Tuesday, 14 May"
Nourish Mantra’s Muted Magic Matte Liquid Lipstick with SPF/Mini Lipstick/Water Proof/Smudge Proof/Transfer Proof/Long Lasting/Suits All Skin Tones/Lipstick Set of - 4 (1.2ml Each).,N/A,4.8,200+ bought in past month,-39%,,549,N/A,"Tuesday, 14 May"
"Blue Heaven Velvet Creme Lipstick, Bold Red, 3.5gm",N/A,3.7,50+ bought in past month,N/A,,165,N/A,"Tuesday, 14 May"
"LoveChild Masaba Game On! - Ups & Downs - Mad Matte Liquid Lipstick, Rose Nude Velvet Smooth, Non-Sticky, Moisturised Lips, Lipsticks For All Skin Tones, 5Ml",N/A,4.2,N/A,-10%,,810,N/A,"Tuesday, 14 May"
"Maybelline Liquid Lipstick, High Shine Gloss, Lasts for 16 HRs, Enriched With Vitamin E & Aloe, SuperStay Vinyl Ink, Saucy, High-Glossy",N/A,4.1,400+ bought in past month,-35%,,551,N/A,"Tuesday, 14 May"
"Jaquline USA Matte Amour Matte Lipstick Lightweight, Long-wear Lipsticks |Matte Finish, High Coverage,Highly Pigmented, Cruelty Free,Paraben Free,Vegan (3.5g Obsession 02)",N/A,4.1,N/A,-40%,,419,N/A,"Wednesday, 15 May"
"Maybelline New York Liquid Matte Lipstick, Long Lasting, 16hr Wear, Superstay Matte Ink, 135 Globe Trotter, 5ml",N/A,4.2,200+ bought in past month,-35%,,454,"Amazon's
Choice","Tuesday, 14 May"
"RENEE Fab 5 Nude 5 in 1 Lipstick 7.5gm - Five Shades in One -long Lasting, Matte Finish - Non Drying Formula With Intense Color Payoff - Compact & Easy to Use",N/A,4.1,N/A,-40%,,449,"Amazon's
Choice","Tuesday, 14 May"
"RENEE Madness Ph Lipstick 3gm - Black Lipstick With Glossy Pink Payoff - Long Lasting Nourishment, Enriched With Vitamin E & Jojoba Oil - Vegan & Paraben Free",N/A,4.1,4K+ bought in past month,-32%,,338,N/A,"Tuesday, 14 May"
"RENEE Stay With Me Mini Matte Lip Color Juicy Berries 2ml Each| Long Lasting, Light Weight & Non Transfer Formula| Water & Smudge Proof",N/A,4.0,400+ bought in past month,-36%,,449,N/A,"Tuesday, 14 May"
"LoveChild Masaba - Barfee - Luxe Matte Lipstick Hydrating & Nourishing, Long lasting, Chocolate Brown Bullet Matte Lipstick, 4ML",N/A,4.2,100+ bought in past month,-25%,,450,N/A,"Friday, 17 May"
"Jaquline USA Matte Amour Matte Lipstick Lightweight, Long-wear Lipsticks |Matte Finish, High Coverage,Highly Pigmented, Cruelty Free,Paraben Free,Vegan (3.5g Self Love 10)",N/A,4.1,N/A,-40%,,419,N/A,"Tuesday, 14 May"
"Love Beauty & Planet Argan Oil and Lavender Natural Shampoo for Dry & Frizzy hair|No Sulfates,No Paraben|400ml",N/A,4.1,6K+ bought in past month,-8%,,599,N/A,22 - 23 May
Botanic Hearth Jojoba & Hyaluronic Acid Shampoo with 100% Pure Jojoba Oil & Aloe Extracts|Hydrates Hair & Adds Shine | For Dry & Dehydrated Hair | Shampoo for Women and Men | Sulphate & Paraben Free | 245ml,N/A,4.0,200+ bought in past month,-15%,,275,"Amazon's
Choice","Thursday, 16 May"
The Moms Co. Natural Protein Hair Strengthening Shampoo for Women & Men| With Hydrolyzed Silk & Wheat Proteins |Shampoo for Dry and Frizzy Hair | Shampoo for Hair fall control-200 ml,N/A,3.8,1K+ bought in past month,-33%,,287,N/A,
Matrix Opti.Care Professional Shampoo and Conditioner Combo for Salon Smooth Straight Hair | Control Frizzy Hair for up to 4 Days | With Shea Butter | No Added Parabens (350 ml + 196 g),N/A,4.4,N/A,N/A,,,"Amazon's
Choice","Tuesday, 14 May"
"Tresemme Keratin Smooth, Shampoo, 1L, for Straighter, Shinier Hair, with Keratin & Argan Oil, Nourishes Dry Hair, Controls Frizz , for Men & Women",N/A,4.3,10K+ bought in past month,-46%,,560,N/A,"Tuesday, 14 May"
"Dabur Vatika Health Shampoo - 640ml | With 7 natural ingredients | For Smooth, Shiny & Nourished Hair | Repairs Hair damage, Controls Frizz | For All Hair Types | Goodness of Henna & Amla",N/A,4.2,3K+ bought in past month,-56%,,239,"Amazon's
Choice","Tuesday, 14 May"
"L'Oreal Paris Moisture Filling Shampoo, With Hyaluronic Acid, For Dry & Dehydrated Hair, Adds Shine & Bounce, Hyaluron Moisture 72H, 180ml",N/A,4.2,10K+ bought in past month,-6%,,197,N/A,
Botanic Hearth Jojoba & Hyaluronic Acid Shampoo with 100% Pure Jojoba Oil & Aloe Extracts|Hydrates Hair & Adds Shine | For Dry & Dehydrated Hair | Shampoo for Women and Men | Sulphate & Paraben Free | 245ml,N/A,4.0,200+ bought in past month,-15%,,275,"Amazon's
Choice","Thursday, 16 May"
"Nyle Naturals Dryness Hydration Shampoo| For Dry & Frizz Free Hair | With Tulsi, Amla and Aloe Vera|Gentle & Soft Shampoo | For Men & Women | 800ml",N/A,4.1,1K+ bought in past month,-39%,,271,N/A,"Tuesday, 14 May"
"Nyle Naturals Damage Repair Shampoo 800 ml | Hair Repairing Shampoo with Papaya, Hibiscus, & Shikakai | pH Balanced & Paraben Free Gentle & Soft Shampoo For Women & Men",N/A,4.1,1K+ bought in past month,-29%,,317,N/A,"Monday, 20 May"
"Nyle Naturals Anti-Hairfall Shampoo | For Hairfall Control | With Coconut Milk, Badam and Amla |Gentle & Soft Shampoo For Men & Women |800ml",N/A,4.0,N/A,-29%,,317,N/A,
"Dove Daily Shine, Shampoo, 1L, for Damaged or Frizzy Hair, Makes Hair Soft, Shiny And Smooth, Mild Daily Shampoo, for Men & Women",N/A,4.3,9K+ bought in past month,-45%,,514,N/A,
"L'Oreal Paris Shampoo, Nourishes, Repair & Shine, For Long and Lifeless Hair, Dream Lengths, 180ml",N/A,4.2,3K+ bought in past month,-20%,,168,"Amazon's
Choice","Tuesday, 14 May"
"L'Oreal Paris Shampoo, For Damaged and Weak Hair, With Pro-Keratin + Ceramide, Total Repair 5, 1ltr",N/A,4.2,10K+ bought in past month,-57%,,474,N/A,
"Kesh King Ayurvedic Anti Hairfall Shampoo Reduces Hairfall, 21 Natural Ingredients With The Goodness Of Aloe Vera, Bhringraja And Amla For Silky, Shiney, Smooth Hair, 1000Ml",N/A,4.1,3K+ bought in past month,-55%,,339,N/A,"Wednesday, 15 May"
Dabur Vatika Ayurvedic Shampoo - 640ml | Damage Therapy | With Power of 10 ingredients for solving 10 hair problems| No Parabens | For all hair types,N/A,4.1,2K+ bought in past month,-56%,,230,N/A,
Dove Hair Fall Rescue Shampoo 1 L|| For Damaged Hair|| Hair Fall Control for Thicker Hair - Mild Daily Anti Hair Fall Shampoo for Men & Women,N/A,4.3,N/A,-49%,,514,N/A,
"WILDLY PURE Natural Volumizing Shampoo for Thin Hair|70% increase in Volume & Bounce |Plant Keratin Soy, Corn & Wheat Protein, Pro Vitamin B5|Mild Shampoo for Daily Use|Sulfate & Paraben Free|Men & Women|300ML[Lush]",N/A,4.1,50+ bought in past month,-26%,,625,N/A,
"Dove Intense Repair Shampoo 1 L, Repairs Dry and Damaged Hair, Strengthening Shampoo for Smooth & Strong Hair - Mild Daily Shampoo for Men & Women",N/A,4.3,6K+ bought in past month,-49%,,513,N/A,
"L'Oreal Paris Extraordinary Oil Nourishing Shampoo For Dry & Dull Hair, 180ml",N/A,4.2,4K+ bought in past month,-20%,,168,"Amazon's
Choice",
"Indulekha Bringha, Shampoo, 200ml, for Hair Fall Control, with Bringharaj Extracts, Amla, Shikakai, Paraben-Free, for Men & Women",N/A,4.2,3K+ bought in past month,-10%,,218,"Amazon's
Choice","Tuesday, 14 May"
"Plum Coconut Shampoo for Dull Hair with Coconut Milk and Peptides for Strong & Shiny Hair I 22x shine I Soft, silky hair I Shampoo for Women and Men | 250ml",N/A,4.1,N/A,-18%,,286,"Amazon's
Choice",
"Khadi Natural Amla & Bhringraj Shampoo/Cleanser for Controlling Dandruff & Hair fall | Shampoo for Reducing Scalp Irritation | Paraben & Sulphate-Free | Suitable for All Hair Types, 210ml",N/A,4.0,9K+ bought in past month,-44%,,168,N/A,"Tuesday, 14 May"
"L'OREAL PROFESSIONNEL PARIS Absolut Repair Shampoo For Damaged & Weakend Hair, 300ML |Professional Hair Repairing Shampoo|Hair Strengthening Shampoo",N/A,4.3,10K+ bought in past month,-10%,,711,N/A,
"Plum Hibiscus & Ceramides Shampoo | For Silky, Smooth, Long Hair & Split End Repair | Shampoo for Women and Men | 75ml",N/A,3.8,400+ bought in past month,-5%,,141,N/A,
"Biotique Green Apple Shine & Gloss Shampoo & Conditioner| Promotes Healthy, Shiny and Glossy Hair | Nourishes Scalp | Makes Hair Soft & Smooth |100% Botanical Extracts| All Skin Types | 650ml",N/A,4.1,2K+ bought in past month,-40%,,312,N/A,
"WOW Skin Science Onion Oil Shampoo with Red Onion Seed Oil Extract, Black Seed Oil & Pro-Vitamin B5 | Controls Hair fall | Helps Strengthen Hair | No Sulphate No Paraben | For Men & Women - 1ltr",N/A,3.9,3K+ bought in past month,-51%,,494,N/A,
Mamaearth Onion Shampoo for Anti Hair Fall & Hair Growth with Onion Oil & Plant Keratin 400ml,N/A,4.0,3K+ bought in past month,-22%,,438,N/A,
SESA Ayurvedic Medicinal Shampoo - Hair Fall Control in 15 days - Bhringraj & 16 Herbs - NO Parabens - 500 ml,N/A,3.9,700+ bought in past month,-31%,,271,N/A,"Tuesday, 14 May"
"Love Beauty & Planet Argan Oil and Lavender Natural Shampoo for Dry & Frizzy hair|No Sulfates,No Paraben|200ml",N/A,4.1,5K+ bought in past month,-7%,,325,N/A,22 - 23 May
"Herbal Essences Moroccan Argan Oil Shampoo For Frizz Free, Soft Hair. With Argan Oil For Hair. Paraben Free , 400 Ml",N/A,4.1,6K+ bought in past month,-38%,,408,N/A,
Clinic Plus Strong & Long Shampoo 1 L|| With Milk Proteins & Multivitamins for Healthy and Long Hair - Strengthening Shampoo for Hair Growth,N/A,4.3,5K+ bought in past month,-41%,,453,N/A,
Biotique Ocean Kelp Anti Hairfall Shampoo | Intensive Hair Growth Therapy| Anti Hairfall Shampoo that Maintains Shine |100% Botanical Extracts | Suitable for All Hair Types |650ml,N/A,4.0,3K+ bought in past month,-36%,,331,N/A,
"Pantene Hair Science Silky Smooth Shampoo 650ml with Pro-Vitamins & Vitamin E for hydrated, frizz free hair,for all hair types, shampoo for women & men, shampoo for frizzy and dry hair",N/A,4.3,1K+ bought in past month,-38%,,399,N/A,
Tresemme Hair Fall Defence Shampoo 1 Ltr,N/A,4.3,8K+ bought in past month,-47%,,551,N/A,
"VLCC Nourishing & Silky Shine Shampoo - B1G1 - 350ml X 2 (700ml) | Stronger, Silkier Hair | Helps Prevent Frizzy Hair, Easy to Manage Hair Shampoo | Soy Proteins and Almond Shampoo.",N/A,4.0,700+ bought in past month,-30%,,239,N/A,
"Dr Batra's® PRO+ Daily Care Shampoo with Keratin Protien Daily Care Shampoo (350ml, Pack of 1)",N/A,3.9,400+ bought in past month,-72%,,165,N/A,"Tuesday, 14 May"
Sunsilk Lusciously Thick & Long Shampoo 1 L|| With Keratin|| Yoghut Protein and Macadamia Oil - Thickening Shampoo for Fuller Hair,N/A,4.3,N/A,-45%,,489,N/A,
Matrix Opti.Care Professional Shampoo for Salon Smooth Straight Hair,N/A,4.2,9K+ bought in past month,,,335,"Amazon's
Choice",
Schwarzkopf Professional Spa Essence Nourishing Shampoo | 1000 Ml,N/A,4.1,1K+ bought in past month,-25%,,825,"Amazon's
Choice",
"Mamaearth Hibiscus Damage Repair Shampoo With Hibiscus & Curry Leaves for Strong & Nourished Hair - 250ml | For Dry & Frizzy Hair | For Smoother, Shinier Hair | Suitable For All Hair Types",N/A,4.2,1K+ bought in past month,-10%,,313,N/A,
BBLUNT Intense Moisture Shampoo with Jojoba and Vitamin E for Dry & Frizzy Hair - 300 ml,N/A,3.9,2K+ bought in past month,-15%,,339,N/A,"Tuesday, 14 May"
Bare Anatomy Ultra Smoothing Shampoo for Dry and Frizzy Hair | Restores Smoothing & Texture by 27% | Powered By Carbohydrate Complex & Niacinamide | SLS & Paraben Free | Vegan | For Men & Women -250ml,N/A,4.1,2K+ bought in past month,-33%,,399,"Amazon's
Choice",
