Product Title,Listing Type (Sponsored/ Organic),Avg. Star Rating,Quantities bought in the last month,Special deal running,MRP of the product,Selling Price,Presence of a Bestseller/Amazon’s Choice Tag,Date of Delivery
"L'Oreal Paris Anti-Hair Fall Shampoo, Reinforcing & Nourishing for Hair Growth, For Thinning & Hair Loss, With Arginine Essence and Salicylic Acid, Fall Resist 3X, 180 ml",N/A,4.2,1K+ bought in past month,-9%,,181,N/A,"Tuesday, 14 May"
"Sunsilk Hairfall Shampoo with Onion & Jojoba Oil, that works best to nourish your long hair, and makes it grow stronger from the first wash, 195ml",N/A,4.1,N/A,-1%,,153,"Amazon's
Choice","Tuesday, 14 May"
Sebamed Anti- Hairloss Shampoo 200Ml|Ph 5.5|Reduces Hairloss|Caffeine&Gingko Biloba|All Hair Types,N/A,4.1,5K+ bought in past month,-46%,,351,"Amazon's
Choice","Tuesday, 14 May"
"Bare Anatomy Anti Hair Fall Shampoo|5x Hair Fall Control & Growth|Contains Biotin Adenosine, & Peptides| For All Hair Types | For Women & Men | 250ml",N/A,4.0,2K+ bought in past month,-32%,,369,"Amazon's
Choice",
"Love Beauty & Planet Onion, Black Seed & Patchouli Hairfall Control Natural Shampoo|No Sulfates,No Paraben|400ml",N/A,4.1,4K+ bought in past month,N/A,,650,N/A,
"Bajaj Almond Drops Anti Hairfall Shampoo with Almond Oil & Vitamin E | For 10X Hairfall Reduction* & Soft, Shiny Hair* | Paraben Free | Ideal for Men and Women - 340ML",N/A,4.2,1K+ bought in past month,-45%,,170,"Amazon's
Choice","Tuesday, 14 May"
"Himalaya Gentle Daily Care Natural Protein Shampoo, Gently cleanses & strengthens, With Chickpea, Licorice & Amla, For Women & Men, 340 ml",N/A,4.2,2K+ bought in past month,,,230,N/A,
"Plum Hibiscus & Ceramides Shampoo | For Silky, Smooth, Long Hair & Split End Repair | Shampoo for Women and Men | 250ml",N/A,3.8,1K+ bought in past month,-18%,,286,N/A,
Arata 6-in-1 Super Shampoo | Prevents Hair loss | Restores pH Balance | Boosts Hair Thickness | Reduces Breakage | Fights Microbial Infections | Adds Shine | Shampoo For Women & Men | 300 ml,N/A,4.2,4K+ bought in past month,-37%,,566,N/A,
"Head & Shoulders Smooth and Silky, Anti Dandruff Shampoo for Women & Men , 1 L",N/A,4.4,3K+ bought in past month,-27%,,649,N/A,
Park Avenue Beer shampoo for Shiny & Bouncy Hair (650ml) | Paraben Free | For Dull & Lifeless Hair | Crafted with Natural Beer,N/A,4.2,2K+ bought in past month,-47%,,292,"Amazon's
Choice",
"Pantene Hair Science Hairfall Control Shampoo 1Litre with Pro-Vitamins & Vitamin B for reduced hairfall,for all hair types, shampoo for women & men, for hairfall and damage prone hair",N/A,4.3,N/A,-40%,,537,N/A,
"Khadi Mauri Herbal Rosemary & Hibiscus Protein Shampoo | Anti Hairfall Shampoo, Upto 96% Healthier, Silkier Hair | Sles & Paraben Free | For all Hair Types, Men & Women | 210 ML",N/A,4.9,N/A,-56%,,177,"Amazon's
Choice","Wednesday, 15 May"
"Dabur Vatika Health Shampoo - 1L (Refill Pouch) | With 7 natural ingredients | For Smooth, Shiny & Nourished Hair | Repairs Hair damage, Controls Frizz | For All Hair Types | Goodness of Henna & Amla",N/A,4.2,2K+ bought in past month,-52%,,259,N/A,"Wednesday, 15 May"
"Biotique Green Apple Shine & Gloss Shampoo & Conditioner| Promotes Healthy, Shiny and Glossy Hair | Nourishes Scalp | Makes Hair Soft & Smooth |100% Botanical Extracts| All Skin Types | 650ml",N/A,4.1,2K+ bought in past month,-40%,,312,N/A,
"Biolage Smoothproof Shampoo For Frizzy Hair | Cleanses, Smooths & Controls Frizz | With Camellia Flower | Natural & Vegan (200 ml)",N/A,4.2,N/A,,,225,"Amazon's
Choice",
"Head & Shoulders, Anti-Hairfall, Anti-Dandruff Shampoo for Women & Men , 650ml",N/A,4.3,500+ bought in past month,-31%,,638,N/A,"Tuesday, 14 May"
Mamaearth Rosemary Anti Hair Fall Shampoo with Rosemary & Methi Dana for Reducing Hair Loss & Breakage- 250 ml | Up to 94% Stronger Hair* | Up to 93% Less Hair Fall | For Men and Women,N/A,3.9,1K+ bought in past month,-12%,,306,N/A,"Tuesday, 14 May"
"Biotique Fresh Neem Anti Dandruff Shampoo and Conditioner | Controls Dandruff | Eliminates Dryness, Flaking, and Itching | Hair Looks Fresh and Lustrous |Suitable for All Skin Types | 180ml",N/A,4.1,N/A,-24%,,129,"Amazon's
Choice",
"St.Botanica Anti-Dandruff Pre-biotic Shampoo 200ml for Men and Women with PreBioFix Complex to Reduce Visible Flakes, Soothe Itchy Scalp & Hydrate | No Parabens | Cruelty Free & Vegan | No Sulphates",N/A,3.7,N/A,-20%,,279,N/A,
BBLUNT Chocolate Dark Brown 5 Minute Shampoo Hair Colour for 100% Grey Coverage - 20ml X 5,N/A,3.9,2K+ bought in past month,-11%,,265,N/A,"Wednesday, 15 May"
Biotique Ocean Kelp Anti Hairfall Shampoo | Intensive Hair Growth Therapy| Anti Hairfall Shampoo that Maintains Shine |100% Botanical Extracts | Suitable for All Hair Types |650ml,N/A,4.0,3K+ bought in past month,-36%,,331,N/A,
Mamaearth Onion Shampoo for Anti Hair Fall & Hair Growth with Onion Oil & Plant Keratin 400ml,N/A,4.0,3K+ bought in past month,-22%,,438,N/A,
"Dabur Vatika Health Shampoo - 1L | With 7 natural ingredients | For Smooth, Shiny & Nourished Hair | Repairs Hair damage, Controls Frizz | For All Hair Types | Goodness of Henna & Amla",N/A,4.2,1K+ bought in past month,-41%,,411,"Amazon's
Choice",
"Meera Anti Dandruff Shampoo, With Goodness Of Small Onion and Fenugreek, Fights dandruff, For Men And Women,Paraben Free, 650ml",N/A,4.3,300+ bought in past month,-18%,,576,N/A,"Wednesday, 15 May"
"Meera Strong and Healthy Shampoo, With Goodness of Kunkudukai & Badam,Gives Soft & Smooth Hair, For Men and Women,Paraben Free, 1L",N/A,4.2,300+ bought in past month,-24%,,649,N/A,"Wednesday, 15 May"
Mamaearth Rice Face Wash With Rice Water & Niacinamide For Glass Skin - 100 Ml,N/A,4.1,N/A,-17%,,215,"Amazon's
Choice","Tuesday, 14 May"
Neutrogena Deep Clean Foaming Cleanser- Advanced Face Wash | Men & Women | Normal to Oily Skin | Gentle Formula | 8% Amino Micellar | Skin pH Friendly | Removes 99% Dirt | Daily Cleansing | 100g,N/A,4.3,N/A,-15%,,293,N/A,"Tuesday, 14 May"
LAKMÉ 9To5 Vitamin C Facewash With Microcrystalline Beads For Refreshed & Glowing Skin 100 g,N/A,4.1,2K+ bought in past month,-40%,,149,N/A,
"Garnier Skin Naturals Bright Complete Vitamin C Face Wash - Vitamin C Face Wash For Brighter and Glowing Skin - Daily Cleanser Suitable For all Skin Types, 150g",N/A,4.2,5K+ bought in past month,-22%,,233,N/A,
Everyuth Brightening Lemon Cherry Face Wash 150 gm (Pack of 2),N/A,4.1,3K+ bought in past month,-62%,,157,"Amazon's
Choice","Tuesday, 14 May"
"Himalaya Purifying Neem Face Wash, 400 ml",N/A,4.3,10K+ bought in past month,-20%,,301,N/A,"Tuesday, 14 May"
"Cetaphil Face Wash Gentle Skin Cleanser for Dry to Normal, Sensitive Skin, 125 ml Hydrating Face Wash with Niacinamide, Vitamin B5",N/A,4.3,50K+ bought in past month,-14%,,343,N/A,"Tuesday, 14 May"
Mamaearth Rice Face Wash With Rice Water & Niacinamide For Glass Skin - 100 Ml,N/A,4.1,N/A,-17%,,215,"Amazon's
Choice","Tuesday, 14 May"
Neutrogena Deep Clean Gentle Facial Cleanser | 2x Glycerin & Cleansing Agent | Alcohol-Free | Dermatologist Tested | Normal to Oily Skin | For Men and Women | 200ml,N/A,4.3,3K+ bought in past month,-15%,,446,N/A,"Tuesday, 14 May"
Lakme Glycolic Illuminate Facewash with Glycolic Acid | Glycolic Acid Face Wash for Exfoliating Dull Skin | Gentle Cleanser for Glowing Skin 100gm,N/A,4.2,400+ bought in past month,-20%,,263,"Amazon's
Choice",
LAKMÉ 9To5 Vitamin C Facewash With Microcrystalline Beads For Refreshed & Glowing Skin 100 g,N/A,4.1,2K+ bought in past month,-40%,,149,N/A,
"POND's Pure Detox, Facewash, 200G, For Fresh, Glowing Skin, With Activated Charcoal, Daily Exfoliating & Brightening Cleanser, Pollution Clear Face Wash",N/A,4.4,5K+ bought in past month,-38%,,338,N/A,"Wednesday, 15 May"
Biotique Fruit Brightening Face Wash| Ayurvedic and Organically Pure| Advanced Swiss Technology |100% Botanical Extracts| Suitable for All Skin Types | 200mL,N/A,4.1,8K+ bought in past month,-34%,,159,N/A,
Biotique Papaya Deep Cleanse Face Wash | Gentle Exfoliation | Visibly Glowing Skin | 100% Botanical Extracts| Suitable for All Skin Types | 2x100ml,N/A,4.1,10K+ bought in past month,-44%,,140,"Amazon's
Choice",
Simple Kind To Skin Refreshing Facial Wash 150 ml | 100% Soap-Free Facewash that doesn't dry out your skin| For All Skin Types,N/A,4.3,20K+ bought in past month,-30%,,269,"Amazon's
Choice","Tuesday, 14 May"
"Himalaya Moisturizing Aloe Vera Face Wash, 200ml",N/A,4.1,5K+ bought in past month,-12%,,167,"Amazon's
Choice",
The Derma Co 2% Salicylic Acid and 2% Niacinamide Sali-Cinamide Anti-Acne Face Wash - 80ml,N/A,4.1,10K+ bought in past month,-10%,,223,"Amazon's
Choice",
"DOT & KEY Vitamin C + E Super Bright Gel Face Wash For Glowing And Brightening Skin | All Skin Types|With Triple Vitamin C,Fades Dark Spots & Pigmentation | Face Wash For Women & Men|100 Ml",N/A,4.1,4K+ bought in past month,-15%,,211,N/A,
"NIVEA MEN Dark Spot Reduction Face Wash 100 g (Pack of 3)| With Ginko and Ginseng Extracts for Clean, Healthy & Clear Skin | 10 X Vitamin C Effect for Radiant Skin |For Dark Spot Reduction",N/A,4.2,1K+ bought in past month,-52%,,359,N/A,"Friday, 17 May"
"Himalaya Oil Clear Lemon Face Wash, 200ml",N/A,4.1,3K+ bought in past month,-38%,,144,"Amazon's
Choice",
"VLCC Mulberry & Rose Facewash - 150ml X 2 | Buy One Get One (300ml) | For Visible Glow and Fairness | With Rose, Mulberry, Orange & Lemon Peel Extract.",N/A,4.0,3K+ bought in past month,-29%,,159,"Amazon's
Choice",
"DOT & KEY Barrier Repair + Hydrating Gentle Face Wash With Probiotic|Ceremide Face Wash|Face Wash For Dry Skin,Normal Skin&Sensitive Skin|Gently Cleanses Skin From Dirt&Oil For Unisex,100Ml",N/A,4.3,8K+ bought in past month,-15%,,211,N/A,
"Himalaya Tan Removal Orange Face Wash, 100ml",N/A,4.2,N/A,,,130,"Amazon's
Choice",
Himalaya Dark Spot Clearing Turmeric Face Wash | Reduce dark spots in 7 days | Organically sourced & Cold-pressed turmeric | 100ml,N/A,4.0,3K+ bought in past month,-22%,,140,N/A,"Wednesday, 15 May"
"POND's Pure Detox, Facewash, 200G, For Fresh, Glowing Skin, With Activated Charcoal, Daily Exfoliating & Brightening Cleanser, Pollution Clear Face Wash",N/A,4.4,5K+ bought in past month,-38%,,338,N/A,"Wednesday, 15 May"
Mamaearth Rice Face Wash With Rice Water & Niacinamide For Glass Skin - 100 Ml,N/A,4.1,N/A,-17%,,215,"Amazon's
Choice","Tuesday, 14 May"
WOW Skin Science Brightening Vitamin C & Niacinamide Foaming Face Wash | For Brighter Glow | Built-in Brush for Deep Cleansing | Brightens & Evens Out Skin Tone | Face Wash for Women & Men | 150ml,N/A,4.0,2K+ bought in past month,-35%,,259,N/A,"Tuesday, 14 May"
"POND's Pure Detox, Facewash, 200G, For Fresh, Glowing Skin, With Activated Charcoal, Daily Exfoliating & Brightening Cleanser, Pollution Clear Face Wash",N/A,4.4,5K+ bought in past month,-38%,,338,N/A,"Wednesday, 15 May"
Neutrogena Deep Clean Gentle Facial Cleanser | 2x Glycerin & Cleansing Agent | Alcohol-Free | Dermatologist Tested | Normal to Oily Skin | For Men and Women | 200ml,N/A,4.3,3K+ bought in past month,-15%,,446,N/A,"Tuesday, 14 May"
Lakme Glycolic Illuminate Facewash with Glycolic Acid | Glycolic Acid Face Wash for Exfoliating Dull Skin | Gentle Cleanser for Glowing Skin 100gm,N/A,4.2,400+ bought in past month,-20%,,263,"Amazon's
Choice",
The Moms Co Natural Simple Vitamin C Face Wash for Women & Men | Clean & Glowing Skin I Oil Free Look I Orange Beads & Chemical Free I 80 ml,N/A,4.1,2K+ bought in past month,-65%,,87,"Amazon's
Choice","Tuesday, 14 May"
Khadi Natural Sandalwood & Honey Face Wash|Gentle face cleanser|Controls excess oil production|Suitable for all skin types|210 ml,N/A,4.1,2K+ bought in past month,-49%,,126,"Amazon's
Choice","Wednesday, 15 May"
"Garnier Men Turbo Bright Double Action Face Wash, Deep Cleansing Anti Pollution Face Wash with Charcoal and Vitamin C, Suitable for all Skin Types, 150g",N/A,4.3,8K+ bought in past month,-20%,,319,N/A,
Ethiglo Skin whitening Face Wash (70ml),N/A,4.2,7K+ bought in past month,N/A,,260,N/A,"Saturday, 18 May"
"Himalaya Herbals Purifying Neem Face Wash, 150ml",N/A,4.4,3K+ bought in past month,,,155,N/A,
POND'S Bright Beauty Spotless Glow Facewash with Vitamin B3 150g,N/A,4.3,N/A,-26%,,156,N/A,
"Clean & Clear Foaming Face Wash For Oily Skin, 150ml",N/A,4.4,2K+ bought in past month,-7%,,219,N/A,"Tuesday, 14 May"
"NIVEA Milk Delights Face Wash Precious Saffron For Normal Skin 100ml, 100 ml",N/A,4.2,2K+ bought in past month,-57%,,100,N/A,17 - 21 May
POND'S Bright Beauty Vit C+E+A Gel Face Wash 50ml,N/A,4.0,900+ bought in past month,-25%,,82,N/A,"Tuesday, 14 May"
"Minimalist 2% Salicylic Acid Face Wash For Oily Skin | Sulphate free, Anti Acne Face Cleanser With LHA & Zinc For Acne or Pimples | For Women & Men (100 ml (Pack of 1))",N/A,4.2,20K+ bought in past month,-59%,,284,"Amazon's
Choice",
Mamaearth Ubtan Natural Face Wash for All Skin Type with Turmeric & Saffron for Tan removal and Skin brightning 100 ml - SLS & Paraben Free,N/A,4.1,N/A,-10%,,232,N/A,"Tuesday, 14 May"
"The Face Shop Rice Water Bright Foaming Face Wash 50ml, Face Wash for Glowing Skin, Cleanser for Uneven Skin Tone, Korean Skin Care Products, Face Wash For Oily skin",N/A,4.2,4K+ bought in past month,-11%,,328,"Amazon's
Choice",
"Clean & Clear Foaming Facewash for Oily Skin, Brown, 240ml",N/A,4.4,2K+ bought in past month,-16%,,289,"Amazon's
Choice","Tuesday, 14 May"
"VLCC Anti Tan Skin Lightening Face Wash - 150ml X 2 Buy One Get One (300ml) | With Mulberry & Orange Peel Extract | Protect against Harsh Sun Damage, UVA And UVB Rays",N/A,4.2,N/A,-25%,,165,"Amazon's
Choice",
LAKMÉ 9To5 Vitamin C Facewash With Microcrystalline Beads For Refreshed & Glowing Skin 100 g,N/A,4.1,2K+ bought in past month,-40%,,149,N/A,
POND'S Bright Beauty Spotless Glow Facewash with Vitamin B3 200g,N/A,4.4,4K+ bought in past month,-38%,,215,"Amazon's
Choice",
"Lacto Calamine Face Wash For Oily Skin |100ml each- Pack of 2 | Kaolin Clay, Niacinamide & Vitamin E | Facewash Reduces Excess Oil, Controls Pimples, Blackheads & Whiteheads |Face wash For Women & Men",N/A,3.9,2K+ bought in past month,-39%,,147,N/A,
"L'Oreal Paris Glycolic Bright Daily Foaming Face Cleanser, 100ml | Glycolic Acid Face Wash for Dull Skin | Daily Glowing Facial Cleanser",N/A,4.2,N/A,-35%,,214,"Amazon's
Choice",
"Everyuth Naturals Anti Acne, Anti Marks Tulsi Turmeric Face Wash, 150gm, Tube",N/A,4.0,600+ bought in past month,-44%,,103,N/A,"Tuesday, 14 May"
"Himalaya Natural Glow Kesar Face Wash, 150ml",N/A,4.2,2K+ bought in past month,-25%,,147,"Amazon's
Choice",
"Dot & Key CICA Face Wash for Acne Prone Skin, 2% Salicylic Acid Face Wash with Green Tea | For Oily & Sensitive Skin | Sulphate Free Face Wash for Men & Women | Oil Control Face Wash with Zinc | 100ml",N/A,4.2,7K+ bought in past month,-16%,,210,N/A,
"Garnier Skin Naturals Bright Complete Vitamin C Face Wash - Vitamin C Face Wash For Brighter and Glowing Skin - Daily Cleanser Suitable For all Skin Types, 150g",N/A,4.2,5K+ bought in past month,-22%,,233,N/A,
The Derma Co 1% Kojic Acid Face Wash with Niacinamide & Alpha Arbutin For Dark Spots & Pigmentation - 100ml,N/A,4.1,5K+ bought in past month,-15%,,254,"Amazon's
Choice","Wednesday, 15 May"
"Garnier Skin Naturals Bright Complete Vitamin C Face Wash - Vitamin C Face Wash For Brighter and Glowing Skin - Daily Cleanser Suitable For all Skin Types, 100g",N/A,4.3,2K+ bought in past month,-25%,,168,"Amazon's
Choice","Tuesday, 14 May"
"Plum Green Tea Pore Cleansing Face Wash For Oily Skin | With Glycolic Acid | Fights Acne, Controls Excess Oil | Removes Dead Skin Cells | Gentle & Non-Drying | Women & Men | 100% Vegan | 100 ml",N/A,4.2,5K+ bought in past month,-12%,,242,N/A,
"Himalaya Fresh Start Oil Clear Face Wash, Lemon, 100ml",N/A,4.3,600+ bought in past month,-36%,,102,"Amazon's
Choice",
"Himalaya Herbals Purifying Neem Face Wash, 300ml – pack of 1",N/A,4.3,1K+ bought in past month,-17%,,248,N/A,
"Cetaphil Face Wash by Cetaphil, Gentle Skin Cleanser for Dry to Normal, Sensitive Skin - 250 ml| Hydrating Face Wash with Niacinamide,Vitamin B5| Dermatologist Recommended| Paraben, Sulphate Free",N/A,4.4,10K+ bought in past month,N/A,,675,N/A,"Tuesday, 14 May"
"NIVEA MEN Dark Spot Reduction Face Wash 100 g | With Ginko and Ginseng Extracts for Clean, Healthy & Clear Skin in Summer | 10 X Vitamin C Effect for Radiant Skin |For Dark Spot Reduction",N/A,4.2,4K+ bought in past month,-17%,,187,N/A,
"Nivea Men Face Wash, Oil Control For 12Hr Oil Control With 10X Vitamin C Effect, 150 ml",N/A,4.2,3K+ bought in past month,,,245,N/A,
"Cos-IQ Vitamin B3-5% Niacinamide Face Wash for Smooth and Even Skin, Tan Removal & Glowing Skin, pH Balanced & Paraben Free (30 Days Pack, 100ml)",N/A,3.9,800+ bought in past month,-40%,,149,N/A,"Tuesday, 14 May"
"Aqualogica Detan+ Smoothie Face Wash with Glycolic Acid & Cherry Tomato for Men & Women for Tan removal, Hydrates & Gentle Exfoliates -Oily, Dry, Sensitive & Combination Skin -100ml (Pack of 1)",N/A,4.0,3K+ bought in past month,-8%,,229,N/A,
"Simple Water Boost Micellar Facial Wash 150ml | 100% Soap-Free Facewash for dewy, hydrated skin| For Normal to dry skin",N/A,4.2,1K+ bought in past month,-30%,,279,N/A,"Tuesday, 14 May"
"POND's Pimple Clear, Facewash, 100G, For Glowing Skin, With Active Thymo-T Essence Formula, Helps Reduce Pimples In 3 Days, Face Wash Controls Oil, Reduces Blackheads",N/A,4.1,1K+ bought in past month,-18%,,241,N/A,
"Botanic Hearth Oat & Niacinamide cleanser Face Wash Enriched with Seabuckthorn fruit oil, Willow Bark Extract | Ideal for Sensitive Skin | For Women & Men | Sulphate & Paraben Free | 100ml",N/A,4.4,500+ bought in past month,-15%,,275,N/A,"Thursday, 16 May"
PureSense Guava Groove Face Wash with 2% Salicylic Acid | Pomegranate & Kiwi | Fights Acne and Controls Excess Oil | For Men & Women - 100ml,N/A,5.0,100+ bought in past month,-12%,,259,"Amazon's
Choice","Tuesday, 14 May"
PureSense Grapefruit Squeeze Face Wash with Glutathione + Vitamin C and Vitamin B3 | Kiwi & Kakadu Plum | Fights dullness and Reveals Radiant Glow | For Men & Women - 100ml,N/A,4.8,100+ bought in past month,-12%,,259,"Amazon's
Choice","Tuesday, 14 May"
Conscious Chemist® Salicylic Acid Face Wash For Oily Acne Prone Skin Glycolic Acid & CICA Extract | For Glowing & Radiant Skin | Vegan & Cruelty Free | 100ml,N/A,4.2,200+ bought in past month,-38%,,249,"Amazon's
Choice",
"Conscious Chemist® Pore Refining Brightening Face Wash with Niacinamide, BlueBerry & AcaiBerry Extracts | For Men & Women, Bright Clear Skin | Vegan & Cruelty Free | 100 ml",N/A,4.4,400+ bought in past month,-38%,,249,"Amazon's
Choice",
"Foxtale Hydrating Face Wash with Hyaluronic Acid, Vitamin B5 for Women, Men| Pore Cleansing, Dirt Control, Makeup Remover| Cleanser For All Skin Types| 100 ml",N/A,4.4,3K+ bought in past month,-35%,,226,"Amazon's
Choice",
"Aveeno Baby Daily Moisture Wash & Shampoo | Gentle Cleanser for Head to Toe | Tear Free & Soap Free Formula with Active Natural Oats | for Dry & Sensitive Skin | US Pediatrician Recommended, 532ml",N/A,4.6,1K+ bought in past month,-29%,,"1,100",N/A,"Tuesday, 14 May"
Parachute Advansed Baby Shampoo for Kids |Clear| Doctor Certified | Tear Free | Tender Coconut Water & Virgin Coconut Oil | Soft & Shiny Hair | 200ml,N/A,4.3,100+ bought in past month,N/A,,185,N/A,"Tuesday, 14 May"
Little's Organix Baby Shampoo 400ml | Mild & Gentle I Dermatologically Tested | Enriched wIth Organic Ingredients - Neem & Aloe Vera extracts I Free from Paraben & Phthalates,N/A,4.2,400+ bought in past month,-13%,,279,N/A,"Thursday, 16 May"
Himalaya Baby Shampoo (400 ml),N/A,4.3,10K+ bought in past month,-31%,,256,N/A,"Tuesday, 14 May"
Himalaya Baby Shampoo (400 ml),N/A,4.3,10K+ bought in past month,-31%,,256,N/A,"Tuesday, 14 May"
"Mamaearth Gentle Cleansing Natural Baby Shampoo, 400ml (White)",N/A,4.3,3K+ bought in past month,-25%,,299,"Amazon's
Choice",
Himalaya Gentle Baby Shampoo (200ml),N/A,4.4,3K+ bought in past month,-28%,,148,N/A,
"Cetaphil Baby Shampoo & Wash, White, Chamomile, 230 ml",N/A,4.5,N/A,N/A,,,N/A,
Himalaya Gentle Baby Shampoo (600ml),N/A,4.3,4K+ bought in past month,-16%,,399,N/A,"Tuesday, 14 May"
Mamaearth Gentle Cleansing Shampoo for Babies (200 ml),N/A,4.3,3K+ bought in past month,-21%,,158,"Amazon's
Choice","Tuesday, 14 May"
"Bumtum Baby Shampoo Gentle No Tears, Paraben & Sulfate Free, Derma Tested For Babies 200ml",N/A,4.1,N/A,-60%,,99,"Amazon's
Choice","Saturday, 18 May"
Sebamed Baby Shampoo 150ml|Ph 5.5| Camomile|Natural moisturisers|No tears formula|For delicate scalp,N/A,4.5,7K+ bought in past month,-16%,,377,N/A,
"Mee Mee Mild Baby Shampoo 400 ml | Mild & Gentle| Tear-Free Formula, Enriched with Olive Extracts, Nurturing for Infant Hair - From Birth Onwards, Dermatologist-Approved",N/A,4.4,2K+ bought in past month,-25%,,261,N/A,
Johnson's Baby No More Tears Baby Shampoo 500ml,N/A,4.4,1K+ bought in past month,-9%,,445,N/A,"Wednesday, 15 May"
"Aveeno Baby Daily Moisture Wash & Shampoo | Gentle Cleanser for Head to Toe | Tear Free & Soap Free Formula with Active Natural Oats | for Dry & Sensitive Skin | US Pediatrician Recommended, 532ml",N/A,4.6,1K+ bought in past month,-29%,,"1,100",N/A,"Tuesday, 14 May"
Little's Organix Baby Shampoo 400ml | Mild & Gentle I Dermatologically Tested | Enriched wIth Organic Ingredients - Neem & Aloe Vera extracts I Free from Paraben & Phthalates,N/A,4.2,400+ bought in past month,-13%,,279,N/A,"Thursday, 16 May"
Parachute Advansed Baby Shampoo for Kids |Clear| Doctor Certified | Tear Free | Tender Coconut Water & Virgin Coconut Oil | Soft & Shiny Hair | 200ml,N/A,4.3,100+ bought in past month,N/A,,185,N/A,"Tuesday, 14 May"
"The Moms Co. Tear-Free Natural Baby Shampoo| Australia-Certified Toxin-Free | Cleans & Conditions Hair | With Organic Argan Oil, Moringa Oil & Coconut-based Cleansers- 200 ml",N/A,4.3,1K+ bought in past month,-38%,,244,"Amazon's
Choice",
Spoo Shampoo Tedibar Gentle Baby Shampoo 125Ml No Tears | Gentle On Scalp | No. 1 Pediatrician Prescribed Shampoo*- By Torrent Pharma,N/A,4.5,2K+ bought in past month,N/A,,300,N/A,"Tuesday, 14 May"
Dabur Baby Gentle Nourishing Shampoo with Ayurvedic Herbs - 500 ml| 100% soap free | Dermatologically tested,N/A,4.2,800+ bought in past month,-47%,,200,N/A,
"Mother Sparsh Milky Soft Baby Shampoo - 400ml | For Daily Moisturizing | Tear Free Formula With Milk Protein, Vitamin E & Coconut Oil",N/A,4.6,2K+ bought in past month,-43%,,258,"Amazon's
Choice",
"Mamaearth Milky Soft Shampoo with Oats, Milk and Calendula for Babies (400 ml)",N/A,4.3,2K+ bought in past month,-25%,,336,N/A,
"The Moms Co. Tear-Free Natural Baby Shampoo| Australia-Certified Toxin-Free | Cleans & Conditions Hair | With Organic Argan Oil, Moringa Oil & Coconut-based Cleansers- 200 ml",N/A,4.3,1K+ bought in past month,-38%,,244,"Amazon's
Choice",
Cetaphil Baby Wash & Shampoo with Organic Calendula (400ml),N/A,4.5,3K+ bought in past month,-15%,,"1,092","Amazon's
Choice","Wednesday, 15 May"
